genome_id,gene_symbol,element_type,element_subtype,class,subclass,pct_coverage,pct_identity
72407.1435,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1435,fieF,STRESS,METAL,,,,
72407.1435,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1435,ybtQ,VIRULENCE,VIRULENCE,,,,
72407.1435,ybtP,VIRULENCE,VIRULENCE,,,,
72407.1435,clbN,VIRULENCE,VIRULENCE,,,,
72407.1435,clbB,VIRULENCE,VIRULENCE,,,,
72407.1435,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1435,gyrA_D87G,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1435,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1435,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1435,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1435,aph(3')-VIa,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,,
72407.1435,merT,STRESS,METAL,MERCURY,MERCURY,,
72407.1435,merR,STRESS,METAL,MERCURY,MERCURY,,
72407.1435,terE,STRESS,METAL,TELLURIUM,TELLURIUM,,
72407.1435,terD,STRESS,METAL,TELLURIUM,TELLURIUM,,
72407.1435,terC,STRESS,METAL,TELLURIUM,TELLURIUM,,
72407.1435,terB,STRESS,METAL,TELLURIUM,TELLURIUM,,
72407.1435,terA,STRESS,METAL,,,,
72407.1435,cmlA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1435,aadA1,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,,
72407.1435,qacL,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1435,sul3,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1435,blaTEM-1,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1435,aac(3)-IIe,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,,
72407.1435,catA2,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1435,blaCTX-M-2,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1435,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1435,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1435,estX-3,AMR,AMR,MACROLIDE,TYLOSIN,,
72407.1435,catA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1435,merE,STRESS,METAL,MERCURY,MERCURY,,
72407.1435,merD,STRESS,METAL,MERCURY,MERCURY,,
72407.1435,merA,STRESS,METAL,MERCURY,MERCURY,,
72407.1435,aph(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,,
72407.1435,dfrA12,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1435,aadA2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,,
72407.1435,ncrA,STRESS,METAL,NICKEL,NICKEL,,
72407.1435,ncrB,STRESS,METAL,NICKEL,NICKEL,,
72407.1435,ncrC,STRESS,METAL,COPPER/NICKEL,COPPER/NICKEL,,
72407.1435,ncrY,STRESS,METAL,NICKEL,NICKEL,,
72407.1435,hsp20,STRESS,HEAT,,,,
72407.1435,clpK,STRESS,HEAT,,,,
72407.1435,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.1435,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1435,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1435,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1435,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.1435,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.1435,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.1435,silP,STRESS,METAL,SILVER,SILVER,,
72407.1435,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1435,silE,STRESS,METAL,SILVER,SILVER,,
72407.1436,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1436,astA,VIRULENCE,VIRULENCE,,,,
72407.1436,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1436,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1436,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1436,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1436,mgrB_L24LKEGAITer,AMR,POINT_DISRUPT,COLISTIN,COLISTIN,,
72407.1436,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1436,ompK35_R115VfsTer30,AMR,POINT_DISRUPT,BETA-LACTAM,CARBAPENEM,,
72407.1436,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,,
72407.1436,fieF,STRESS,METAL,,,,
72407.1436,aac(3)-IIe,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,,
72407.1436,blaTEM-1,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1436,dfrA12,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1436,aadA2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,,
72407.1436,blaCTX-M-2,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1436,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1436,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1436,tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1436,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1436,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1436,aac(6')-Ib3,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,,
72407.1436,blaOXA-2,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1436,clpK,STRESS,HEAT,,,,
72407.1436,hsp20,STRESS,HEAT,,,,
72407.1436,catA2,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1437,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1437,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1437,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1437,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1437,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1437,ompK36_N115insTer8,AMR,POINT_DISRUPT,BETA-LACTAM,CARBAPENEM,,
72407.1437,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1437,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,,
72407.1437,fieF,STRESS,METAL,,,,
72407.1437,blaKPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,,
72407.1437,clpK,STRESS,HEAT,,,,
72407.1437,hsp20,STRESS,HEAT,,,,
72407.1437,aph(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,,
72407.1437,catA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1437,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1437,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1437,dfrA30,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1437,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1437,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1437,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
